,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2020-01-22,0.04646109067449163,-1469.623727368284,1543.9531453873867,0.04646109067449163,0.04646109067449163,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,1.5567505929189345
1,2020-01-23,0.04267501193948262,-1375.8494844050763,1388.869478018581,0.04267501193948262,0.04267501193948262,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,1.4298921780604343
2,2020-01-24,0.038888933204473605,-1431.6497362540042,1444.7007636414708,0.038888933204473605,0.038888933204473605,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,1.3030337632019342
3,2020-01-25,0.035102854469464595,-1437.564274294225,1398.255095133971,0.035102854469464595,0.035102854469464595,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,1.176175348343434
4,2020-01-26,0.031317161817166636,-1447.1053558685078,1395.7119797218766,0.031317161817166636,0.031317161817166636,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,1.0493298697823954
5,2020-01-27,0.027531469164868674,-1400.139763327922,1394.5894474684565,0.02753146916486867,0.02753146916486867,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,0.9224843912213567
6,2020-01-28,0.023745776512570718,-1343.7477029380987,1487.8445609517332,0.023745776512570718,0.023745776512570718,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,0.7956389126603182
7,2020-01-29,0.01996034203424909,-1371.7466818561395,1457.2461047241516,0.01996034203424909,0.01996034203424909,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,0.6688020846170546
8,2020-01-30,0.016174907555927456,-1401.3105646204099,1451.2240818693788,0.016174907555927456,0.016174907555927456,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,0.5419652565737908
9,2020-01-31,0.012389473077605826,-1454.4501130782828,1372.124531888137,0.012389473077605826,0.012389473077605826,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,0.4151284285305272
10,2020-02-01,0.008604038599284195,-1465.5038315680467,1419.9762440830339,0.008604038599284195,0.008604038599284195,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,0.28829160048726354
11,2020-02-02,0.004807076784814976,-1528.7736796908657,1417.0962092355476,0.004807076784814976,0.004807076784814976,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,0.16106853124470782
12,2020-02-03,0.0010101149703457576,-1347.6794166189663,1515.0932317875756,0.0010101149703457576,0.0010101149703457576,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,0.033845462002152105
13,2020-02-04,-0.0027868468441234685,-1422.3318661804196,1462.9592110938938,-0.0027868468441234685,-0.0027868468441234685,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,-0.09337760724040388
14,2020-02-05,-0.0065866073516294725,-1479.002666177718,1493.6665306902125,-0.0065866073516294725,-0.0065866073516294725,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,-0.2206944510151792
15,2020-02-06,-0.010386367859135477,-1444.8580061246776,1422.00462764903,-0.010386367859135477,-0.010386367859135477,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,-0.3480112947899546
16,2020-02-07,-0.01418612836664148,-1480.1373636659944,1498.6708562091942,-0.01418612836664148,-0.01418612836664148,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,-0.4753281385647299
17,2020-02-08,-0.017985455920665753,-1493.9369209610932,1399.6965890105225,-0.017985455920665753,-0.017985455920665753,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,-0.6026304755644897
18,2020-02-09,-0.021784783474690008,-1428.1912882337774,1361.4497867494665,-0.021784783474690008,-0.021784783474690008,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,-0.7299328125642489
19,2020-02-10,-0.025584111028714274,-1435.1779081833472,1377.218867715156,-0.025584111028714274,-0.025584111028714274,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,-0.8572351495640085
20,2020-02-11,-0.029384139604956484,-1386.146778873673,1475.5496879458274,-0.029384139604956484,-0.029384139604956484,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,-0.984560975395769
